classification_id,credit_id,client_id,date_classification,categorie_reglementaire,categorie_bale_ii,categorie_ifrs9,jours_retard,probabilite_defaut_pd,perte_en_cas_defaut_lgd,exposition_en_cas_defaut_ead,perte_attendue_el,provision_requise,provision_constituee,taux_provisionnement,indicateur_forborne,date_restructuration,indicateur_contentieux,date_entree_contentieux,motif_classification,observation,validateur_id,date_validation,date_prochaine_revue
CLS-000341,CRD-000341,CLI-004254,2026-08-07,Saine,C,Stage 1,0,0.0065,0.3375,16763.79,36.52,37.84,35.95,0.0,0,,0,,Normal,Classification automatique,VAL-009,2026-09-11 14:53:26.595743,2026-12-10 14:53:26.595743
CLS-000342,CRD-000342,CLI-004059,2022-04-01,Saine,B,Stage 1,0,0.0161,0.4617,27057.58,201.58,236.04,233.91,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:26.603831,2026-12-10 14:53:26.603831
CLS-000343,CRD-000343,CLI-001294,2026-12-19,Saine,C,Stage 1,0,0.0111,0.4808,42856.57,227.71,268.91,260.28,0.0,0,,0,,Normal,Classification automatique,VAL-014,2026-09-11 14:53:26.605884,2026-12-10 14:53:26.605884
CLS-000344,CRD-000344,CLI-002222,2026-01-27,Saine,C,Stage 1,0,0.0094,0.4053,4003.17,15.27,17.77,17.19,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:26.605884,2026-12-10 14:53:26.605884
CLS-000345,CRD-000345,CLI-003505,2024-01-28,Saine,C,Stage 1,0,0.007,0.6961,5719.1,28.04,31.9,31.49,0.0,0,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:26.616013,2026-12-10 14:53:26.616013
CLS-000346,CRD-000346,CLI-003655,2026-01-15,Saine,B,Stage 1,0,0.0156,0.5099,66049.64,526.99,543.3,538.81,0.0,0,2025-10-10,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:26.616013,2026-12-10 14:53:26.616013
CLS-000347,CRD-000347,CLI-004759,2026-07-29,Saine,C,Stage 1,0,0.0106,0.5271,9857.5,55.05,61.1,60.31,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:26.641228,2026-12-10 14:53:26.641228
CLS-000348,CRD-000348,CLI-003007,2022-10-07,Saine,B,Stage 1,0,0.0086,0.524,17838.87,80.81,85.9,84.39,0.0,1,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:26.647262,2026-12-10 14:53:26.647262
CLS-000349,CRD-000349,CLI-002094,2026-10-05,Saine,B,Stage 1,0,0.0142,0.3906,7713.77,42.78,47.31,47.08,0.0,1,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:26.653261,2026-12-10 14:53:26.653261
CLS-000350,CRD-000350,CLI-002188,2022-11-22,Saine,C,Stage 2,41,0.1258,0.5249,6153.61,406.37,442.88,433.92,0.0,0,,0,,Retard de paiement,Classification automatique,VAL-003,2026-09-11 14:53:26.658264,2026-12-10 14:53:26.658264
CLS-000351,CRD-000351,CLI-003037,2027-07-05,Saine,C,Stage 1,0,0.0166,0.3728,77403.84,478.96,509.43,490.26,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:26.664296,2026-12-10 14:53:26.664296
CLS-000352,CRD-000352,CLI-003919,2023-01-14,Saine,B,Stage 1,0,0.0085,0.2667,9669.07,22.05,22.85,22.04,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:26.668297,2026-12-10 14:53:26.668297
CLS-000353,CRD-000353,CLI-001273,2022-05-23,Saine,B,Stage 1,0,0.0185,0.5441,19733.11,198.55,203.35,200.09,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:26.686389,2026-12-10 14:53:26.686389
CLS-000354,CRD-000354,CLI-000291,2026-10-29,Saine,B,Stage 1,0,0.0168,0.4903,16896.57,139.24,145.91,143.39,0.0,0,2026-04-04,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:26.686389,2026-12-10 14:53:26.686389
CLS-000355,CRD-000355,CLI-004828,2026-01-28,Saine,B,Stage 1,0,0.0193,0.713,7861.46,108.28,115.78,113.78,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:26.697158,2026-12-10 14:53:26.697158
CLS-000356,CRD-000356,CLI-000253,2024-08-17,Saine,C,Stage 1,0,0.0071,0.4369,4705.75,14.55,16.95,16.37,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:26.704717,2026-12-10 14:53:26.704717
CLS-000357,CRD-000357,CLI-003246,2025-09-19,Saine,A,Stage 1,0,0.0109,0.2446,78400.48,208.77,218.83,215.13,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:26.706773,2026-12-10 14:53:26.706773
CLS-000358,CRD-000358,CLI-000351,2023-10-16,Saine,C,Stage 1,0,0.0059,0.5303,150027.44,471.77,472.37,462.02,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:26.714202,2026-12-10 14:53:26.714202
CLS-000359,CRD-000359,CLI-001188,2024-12-08,Saine,B,Stage 1,0,0.009,0.392,221482.71,782.04,783.05,748.58,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:26.734954,2026-12-10 14:53:26.734954
CLS-000360,CRD-000360,CLI-001962,2023-05-16,Saine,C,Stage 1,0,0.0167,0.2223,2923.35,10.87,11.46,11.15,0.0,0,,0,,Normal,Classification automatique,VAL-013,2026-09-11 14:53:26.739957,2026-12-10 14:53:26.739957
CLS-000361,CRD-000361,CLI-000423,2024-01-30,Saine,B,Stage 1,0,0.0177,0.4082,262976.22,1900.97,2099.2,2035.78,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:26.746003,2026-12-10 14:53:26.746003
CLS-000362,CRD-000362,CLI-000091,2024-12-14,Saine,A,Stage 1,0,0.0134,0.6295,14575.82,123.17,138.58,133.55,0.0,0,,0,,Normal,Classification automatique,VAL-003,2026-09-11 14:53:26.751789,2026-12-10 14:53:26.751789
CLS-000363,CRD-000363,CLI-003730,2024-11-12,Saine,B,Stage 1,0,0.011,0.5915,31017.9,201.72,208.23,202.37,0.0,0,,0,,Normal,Classification automatique,VAL-003,2026-09-11 14:53:26.756787,2026-12-10 14:53:26.756787
CLS-000364,CRD-000364,CLI-002237,2026-02-07,Saine,A,Stage 1,0,0.0199,0.4957,27659.62,272.23,282.42,268.47,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:26.762002,2026-12-10 14:53:26.762002
CLS-000365,CRD-000365,CLI-000671,2025-06-02,Saine,A,Stage 1,0,0.012,0.7188,1404.34,12.12,14.12,13.42,0.0,0,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:26.774260,2026-12-10 14:53:26.774260
CLS-000366,CRD-000366,CLI-003041,2024-11-21,Saine,C,Stage 2,88,0.1339,0.6767,8403.87,761.65,819.77,812.28,0.0,0,,0,,Retard de paiement,Classification automatique,VAL-013,2026-09-11 14:53:26.779223,2026-12-10 14:53:26.779223
CLS-000367,CRD-000367,CLI-000027,2023-08-19,Saine,A,Stage 1,0,0.0138,0.4645,2627.01,16.9,17.19,16.69,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:26.779223,2026-12-10 14:53:26.779223
CLS-000368,CRD-000368,CLI-000430,2023-07-31,Saine,B,Stage 1,0,0.0135,0.4389,1018723.26,6041.67,6717.75,6666.9,0.0,1,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:26.789333,2026-12-10 14:53:26.789333
CLS-000369,CRD-000369,CLI-000684,2024-04-02,Saine,C,Stage 1,0,0.0165,0.4332,171982.67,1228.04,1439.58,1415.77,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:26.789333,2026-12-10 14:53:26.789333
CLS-000370,CRD-000370,CLI-004464,2023-04-22,Saine,A,Stage 1,0,0.0138,0.5146,308142.2,2190.72,2530.04,2485.18,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:26.797415,2026-12-10 14:53:26.797415
CLS-000371,CRD-000371,CLI-003946,2026-10-16,Saine,B,Stage 1,0,0.0158,0.2741,11169.2,48.46,51.21,51.08,0.0,0,,0,,Normal,Classification automatique,VAL-011,2026-09-11 14:53:26.799462,2026-12-10 14:53:26.799462
CLS-000372,CRD-000372,CLI-003524,2022-07-03,Saine,B,Stage 1,0,0.0113,0.5274,52226.03,311.01,333.44,318.17,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:26.820238,2026-12-10 14:53:26.820238
CLS-000373,CRD-000373,CLI-001542,2024-01-10,Saine,C,Stage 1,0,0.0159,0.2958,889009.5,4177.6,4906.2,4670.59,0.0,0,,0,,Normal,Classification automatique,VAL-009,2026-09-11 14:53:26.833187,2026-12-10 14:53:26.833187
CLS-000374,CRD-000374,CLI-002032,2024-08-01,Saine,A,Stage 1,0,0.0093,0.4222,7167.48,28.25,30.67,29.81,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:26.839190,2026-12-10 14:53:26.839190
CLS-000375,CRD-000375,CLI-002233,2022-06-24,Saine,B,Stage 1,0,0.0083,0.2894,5079.38,12.18,13.37,13.11,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:26.844187,2026-12-10 14:53:26.844187
CLS-000376,CRD-000376,CLI-004121,2026-03-04,Saine,B,Stage 1,0,0.0064,0.3726,12484.71,29.59,31.5,30.95,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:26.848481,2026-12-10 14:53:26.848481
CLS-000377,CRD-000377,CLI-003236,2026-07-14,Saine,B,Stage 1,0,0.0063,0.5853,277482.13,1028.18,1052.13,1033.87,0.0,0,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:26.853481,2026-12-10 14:53:26.853481
CLS-000378,CRD-000378,CLI-000255,2026-09-22,Saine,A,Stage 1,0,0.0078,0.3946,48026.91,147.25,169.53,163.08,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:26.872827,2026-12-10 14:53:26.872827
CLS-000379,CRD-000379,CLI-001030,2025-06-12,Douteuse,D,Stage 3,185,0.4653,0.4476,25738.62,5359.45,5911.02,5861.01,0.5,0,,1,2025-04-19,Retard de paiement,Classification automatique,VAL-016,2026-09-11 14:53:26.876824,2026-12-10 14:53:26.876824
CLS-000380,CRD-000380,CLI-004393,2025-06-29,Saine,C,Stage 1,0,0.0063,0.7339,2289.35,10.64,11.03,10.85,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:26.882728,2026-12-10 14:53:26.882728
CLS-000381,CRD-000381,CLI-003801,2023-04-05,Saine,C,Stage 1,0,0.0053,0.4197,297366.93,665.49,673.56,645.97,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:26.887725,2026-12-10 14:53:26.887725
CLS-000382,CRD-000382,CLI-004311,2027-01-20,Saine,B,Stage 1,0,0.0112,0.3633,177421.27,721.82,734.78,706.99,0.0,0,,0,,Normal,Classification automatique,VAL-013,2026-09-11 14:53:26.893724,2026-12-10 14:53:26.893724
CLS-000383,CRD-000383,CLI-002510,2023-07-07,Pré-douteuse,D,Stage 3,164,0.1779,0.2654,32023.01,1511.57,1539.92,1530.4,0.2,0,,0,,Retard de paiement,Classification automatique,VAL-012,2026-09-11 14:53:26.898828,2026-12-10 14:53:26.898828
CLS-000384,CRD-000384,CLI-002293,2026-04-25,Saine,C,Stage 1,0,0.01,0.2742,32982.9,90.85,105.83,104.58,0.0,1,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:26.900885,2026-12-10 14:53:26.900885
CLS-000385,CRD-000385,CLI-001324,2022-11-14,Saine,A,Stage 1,0,0.0124,0.247,53534.1,163.5,172.78,167.66,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:26.919101,2026-12-10 14:53:26.919101
CLS-000386,CRD-000386,CLI-001551,2022-12-05,Saine,A,Stage 1,0,0.0081,0.5747,87013.62,406.96,460.38,453.26,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:26.921156,2026-12-10 14:53:26.921156
CLS-000387,CRD-000387,CLI-004648,2025-03-21,Saine,C,Stage 1,0,0.0189,0.5916,2915.32,32.64,38.12,36.88,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:26.931279,2026-12-10 14:53:26.931279
CLS-000388,CRD-000388,CLI-000316,2024-09-01,Saine,C,Stage 1,0,0.0057,0.3414,15031.95,29.26,30.44,30.12,0.0,0,,0,,Normal,Classification automatique,VAL-009,2026-09-11 14:53:26.943238,2026-12-10 14:53:26.943238
CLS-000389,CRD-000389,CLI-001243,2023-06-06,Saine,C,Stage 1,0,0.0187,0.4891,41856.06,383.31,405.17,401.34,0.0,0,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:26.948350,2026-12-10 14:53:26.948350
CLS-000390,CRD-000390,CLI-002451,2026-08-22,Saine,B,Stage 1,0,0.0146,0.5133,61771.0,463.49,491.66,473.8,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:26.953349,2026-12-10 14:53:26.953349
CLS-000391,CRD-000391,CLI-001579,2026-07-22,Saine,B,Stage 1,0,0.0151,0.3042,5244.74,24.05,24.29,23.53,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:26.958342,2026-12-10 14:53:26.958342
CLS-000392,CRD-000392,CLI-004626,2026-05-18,Saine,C,Stage 1,0,0.0135,0.6595,40154.92,356.96,401.56,381.59,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:26.964351,2026-12-10 14:53:26.964351
CLS-000393,CRD-000393,CLI-003117,2026-01-24,Douteuse,D,Stage 3,203,0.4515,0.5734,1652.17,427.76,458.33,437.69,0.5,0,,1,2026-08-04,Retard de paiement,Classification automatique,VAL-003,2026-09-11 14:53:26.985346,2026-12-10 14:53:26.985346
CLS-000394,CRD-000394,CLI-000070,2024-10-25,Saine,C,Stage 1,0,0.0182,0.2546,5446.4,25.23,28.75,28.38,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:26.995342,2026-12-10 14:53:26.995342
CLS-000395,CRD-000395,CLI-000860,2023-11-06,Saine,B,Stage 1,0,0.0093,0.718,10853.88,72.76,85.82,82.82,0.0,0,,0,,Normal,Classification automatique,VAL-011,2026-09-11 14:53:27.000349,2026-12-10 14:53:27.000349
CLS-000396,CRD-000396,CLI-002754,2024-07-01,Saine,B,Stage 1,0,0.0164,0.383,907625.46,5696.89,6696.45,6430.39,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:27.004348,2026-12-10 14:53:27.004348
CLS-000397,CRD-000397,CLI-001633,2027-04-21,Saine,C,Stage 2,76,0.0775,0.4457,32333.8,1117.41,1328.94,1298.69,0.0,0,,0,,Retard de paiement,Classification automatique,VAL-008,2026-09-11 14:53:27.024348,2026-12-10 14:53:27.024348
CLS-000398,CRD-000398,CLI-001651,2025-05-10,Saine,B,Stage 2,17,0.0413,0.4511,76725.36,1428.39,1526.6,1460.14,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:27.029344,2026-12-10 14:53:27.029344
CLS-000399,CRD-000399,CLI-003861,2023-11-28,Saine,C,Stage 1,0,0.007,0.308,16541.4,35.65,38.05,37.48,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:27.034342,2026-12-10 14:53:27.034342
CLS-000400,CRD-000400,CLI-003107,2026-08-18,Saine,B,Stage 1,0,0.0186,0.4007,64497.14,481.89,498.67,475.15,0.0,0,2026-08-09,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:27.039344,2026-12-10 14:53:27.039344
CLS-000401,CRD-000401,CLI-001075,2026-10-14,Saine,C,Stage 1,0,0.0068,0.3411,23791.94,55.43,58.62,56.89,0.0,0,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:27.044346,2026-12-10 14:53:27.044346
CLS-000402,CRD-000402,CLI-004002,2023-10-19,Saine,B,Stage 1,0,0.0166,0.2874,1842.91,8.79,10.02,9.99,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:27.059349,2026-12-10 14:53:27.059349
CLS-000403,CRD-000403,CLI-000788,2024-07-27,Saine,C,Stage 1,0,0.0078,0.5629,26388.84,116.04,138.94,136.12,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:27.080343,2026-12-10 14:53:27.080343
CLS-000404,CRD-000404,CLI-002606,2023-10-17,Saine,B,Stage 1,0,0.0114,0.3214,0.0,0.0,0.0,0.0,0.0,0,,0,,Normal,Classification automatique,VAL-011,2026-09-11 14:53:27.087344,2026-12-10 14:53:27.087344
CLS-000405,CRD-000405,CLI-003631,2026-02-24,Saine,A,Stage 1,0,0.0179,0.5168,9087.87,83.94,95.89,94.72,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:27.093346,2026-12-10 14:53:27.093346
CLS-000406,CRD-000406,CLI-002122,2025-03-29,Saine,C,Stage 1,0,0.0059,0.3849,121035.07,276.86,316.04,311.1,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:27.099344,2026-12-10 14:53:27.099344
CLS-000407,CRD-000407,CLI-001875,2024-09-15,Saine,B,Stage 1,0,0.0189,0.6659,3286.04,41.4,42.85,40.83,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:27.104340,2026-12-10 14:53:27.104340
CLS-000408,CRD-000408,CLI-000812,2022-09-23,Saine,C,Stage 1,0,0.0116,0.4989,158230.3,919.17,944.89,925.25,0.0,0,,0,,Normal,Classification automatique,VAL-005,2026-09-11 14:53:27.107343,2026-12-10 14:53:27.107343
CLS-000409,CRD-000409,CLI-000388,2024-12-20,Saine,B,Stage 1,0,0.016,0.4224,22696.67,153.0,153.97,147.89,0.0,0,,0,,Normal,Classification automatique,VAL-003,2026-09-11 14:53:27.111342,2026-12-10 14:53:27.111342
CLS-000410,CRD-000410,CLI-002883,2024-03-13,Saine,A,Stage 1,0,0.0172,0.4369,2489.0,18.73,20.61,20.5,0.0,0,,0,,Normal,Classification automatique,VAL-010,2026-09-11 14:53:27.114339,2026-12-10 14:53:27.114339
CLS-000411,CRD-000411,CLI-001176,2026-07-29,Saine,A,Stage 1,0,0.0109,0.541,21547.24,127.5,151.76,151.13,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:27.117341,2026-12-10 14:53:27.117341
CLS-000412,CRD-000412,CLI-003198,2024-07-23,Saine,B,Stage 1,0,0.0119,0.3814,1937.99,8.82,10.36,9.9,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:27.120340,2026-12-10 14:53:27.120340
CLS-000413,CRD-000413,CLI-002624,2025-01-09,Saine,C,Stage 1,0,0.0107,0.5312,30100.32,170.37,174.29,173.33,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:27.122339,2026-12-10 14:53:27.122339
CLS-000414,CRD-000414,CLI-001352,2023-06-13,Saine,C,Stage 1,0,0.015,0.2456,27990.03,103.3,111.78,111.28,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:27.125341,2026-12-10 14:53:27.125341
CLS-000415,CRD-000415,CLI-000411,2024-06-30,Saine,C,Stage 1,0,0.0074,0.5164,21009.94,80.43,93.51,93.01,0.0,0,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:27.127340,2026-12-10 14:53:27.127340
CLS-000416,CRD-000416,CLI-004213,2026-05-31,Saine,C,Stage 1,0,0.0105,0.26,25451.76,69.49,71.19,68.61,0.0,0,,0,,Normal,Classification automatique,VAL-019,2026-09-11 14:53:27.130339,2026-12-10 14:53:27.130339
CLS-000417,CRD-000417,CLI-000110,2026-05-27,Saine,C,Stage 1,0,0.0169,0.5389,112547.07,1027.8,1203.16,1203.13,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:27.132338,2026-12-10 14:53:27.132338
CLS-000418,CRD-000418,CLI-004996,2025-05-09,Saine,B,Stage 1,0,0.0062,0.7023,23064.1,100.84,104.39,102.64,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:27.135341,2026-12-10 14:53:27.135341
CLS-000419,CRD-000419,CLI-003430,2021-12-22,Saine,B,Stage 1,0,0.0051,0.4854,2726.25,6.79,8.09,7.73,0.0,0,,0,,Normal,Classification automatique,VAL-016,2026-09-11 14:53:27.138338,2026-12-10 14:53:27.138338
CLS-000420,CRD-000420,CLI-002810,2026-07-24,Saine,C,Stage 1,0,0.0082,0.6428,79177.13,417.7,482.29,463.47,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:27.141338,2026-12-10 14:53:27.141338
CLS-000421,CRD-000421,CLI-002595,2026-09-25,Saine,A,Stage 1,0,0.0131,0.4709,28918.29,177.88,203.01,195.81,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:27.143338,2026-12-10 14:53:27.143338
CLS-000422,CRD-000422,CLI-002837,2023-02-11,Douteuse,D,Stage 3,232,0.3543,0.3587,272577.06,34633.64,38620.41,38239.98,0.5,0,,1,2023-08-17,Retard de paiement,Classification automatique,VAL-019,2026-09-11 14:53:27.146338,2026-12-10 14:53:27.146338
CLS-000423,CRD-000423,CLI-002373,2023-08-11,Saine,A,Stage 1,0,0.0149,0.3687,295585.34,1620.12,1716.37,1698.04,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:27.149341,2026-12-10 14:53:27.149341
CLS-000424,CRD-000424,CLI-001236,2024-09-03,Saine,B,Stage 1,0,0.02,0.251,4411.62,22.1,23.88,23.49,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:27.152357,2026-12-10 14:53:27.152357
CLS-000425,CRD-000425,CLI-002147,2026-04-11,Saine,B,Stage 1,0,0.0152,0.533,34286.31,278.27,288.23,276.83,0.0,0,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:27.155363,2026-12-10 14:53:27.155363
CLS-000426,CRD-000426,CLI-004976,2024-11-18,Saine,C,Stage 1,0,0.0108,0.6826,306202.17,2266.67,2281.89,2242.08,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:27.157363,2026-12-10 14:53:27.157363
CLS-000427,CRD-000427,CLI-000600,2026-01-08,Saine,B,Stage 1,0,0.0094,0.4477,32389.2,136.3,145.32,139.03,0.0,0,,0,,Normal,Classification automatique,VAL-006,2026-09-11 14:53:27.160363,2026-12-10 14:53:27.160363
CLS-000428,CRD-000428,CLI-001435,2025-07-13,Saine,C,Stage 1,0,0.0141,0.3608,975.73,4.95,5.8,5.51,0.0,0,,0,,Normal,Classification automatique,VAL-018,2026-09-11 14:53:27.162364,2026-12-10 14:53:27.162364
CLS-000429,CRD-000429,CLI-004997,2025-05-22,Saine,B,Stage 1,0,0.0118,0.577,120149.56,820.27,936.54,931.36,0.0,0,,0,,Normal,Classification automatique,VAL-007,2026-09-11 14:53:27.165362,2026-12-10 14:53:27.165362
CLS-000430,CRD-000430,CLI-000539,2022-09-16,Saine,B,Stage 1,0,0.0183,0.3049,25586.45,142.91,143.27,140.76,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:27.168359,2026-12-10 14:53:27.168359
CLS-000431,CRD-000431,CLI-000722,2022-09-27,Saine,B,Stage 1,0,0.0148,0.4452,15766.19,103.61,104.06,102.97,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:27.170366,2026-12-10 14:53:27.170366
CLS-000432,CRD-000432,CLI-004411,2025-11-18,Saine,C,Stage 1,0,0.019,0.6293,2370.35,28.27,33.17,32.14,0.0,0,,0,,Normal,Classification automatique,VAL-014,2026-09-11 14:53:27.173364,2026-12-10 14:53:27.173364
CLS-000433,CRD-000433,CLI-001873,2022-07-12,Saine,B,Stage 1,0,0.0128,0.2575,25304.87,83.12,85.04,81.37,0.0,0,,0,,Normal,Classification automatique,VAL-009,2026-09-11 14:53:27.176364,2026-12-10 14:53:27.176364
CLS-000434,CRD-000434,CLI-002846,2027-01-27,Saine,C,Stage 1,0,0.0191,0.4807,5065.34,46.51,53.65,53.62,0.0,0,,0,,Normal,Classification automatique,VAL-012,2026-09-11 14:53:27.178366,2026-12-10 14:53:27.178366
CLS-000435,CRD-000435,CLI-002054,2022-10-27,Saine,C,Stage 1,0,0.0174,0.7408,361185.1,4651.33,5493.69,5415.46,0.0,0,,0,,Normal,Classification automatique,VAL-001,2026-09-11 14:53:27.181364,2026-12-10 14:53:27.181364
CLS-000436,CRD-000436,CLI-002908,2024-09-18,Saine,B,Stage 2,10,0.0324,0.273,4492.64,39.78,41.0,39.18,0.0,0,,0,,Normal,Classification automatique,VAL-005,2026-09-11 14:53:27.183364,2026-12-10 14:53:27.183364
CLS-000437,CRD-000437,CLI-002255,2024-02-19,Saine,B,Stage 1,0,0.0158,0.4167,58500.75,384.71,400.49,392.65,0.0,0,,0,,Normal,Classification automatique,VAL-014,2026-09-11 14:53:27.186365,2026-12-10 14:53:27.186365
CLS-000438,CRD-000438,CLI-003913,2022-12-10,Saine,C,Stage 1,0,0.0106,0.6523,4587.54,31.79,33.76,33.23,0.0,0,,0,,Normal,Classification automatique,VAL-002,2026-09-11 14:53:27.188363,2026-12-10 14:53:27.188363
CLS-000439,CRD-000439,CLI-000178,2024-04-13,Saine,A,Stage 1,0,0.0114,0.4179,6928.61,33.05,39.62,38.33,0.0,0,,0,,Normal,Classification automatique,VAL-017,2026-09-11 14:53:27.191345,2026-12-10 14:53:27.191345
CLS-000440,CRD-000440,CLI-002891,2022-04-29,Saine,C,Stage 1,0,0.0088,0.5007,6779.42,30.04,30.94,29.78,0.0,0,,0,,Normal,Classification automatique,VAL-008,2026-09-11 14:53:27.194365,2026-12-10 14:53:27.194365
CLS-000441,CRD-000441,CLI-003674,2022-12-22,Saine,C,Stage 1,0,0.0135,0.5786,6405.98,50.18,59.81,57.48,0.0,0,2024-08-24,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:27.197364,2026-12-10 14:53:27.197364
CLS-000442,CRD-000442,CLI-000081,2023-01-08,Saine,B,Stage 1,0,0.0148,0.5363,1432.22,11.36,12.51,12.29,0.0,0,,0,,Normal,Classification automatique,VAL-020,2026-09-11 14:53:27.202342,2026-12-10 14:53:27.202342
CLS-000443,CRD-000443,CLI-002562,2023-04-14,Saine,C,Stage 1,0,0.0163,0.204,19291.44,64.22,65.39,64.34,0.0,0,,0,,Normal,Classification automatique,VAL-015,2026-09-11 14:53:27.205363,2026-12-10 14:53:27.205363
CLS-000444,CRD-000444,CLI-001724,2024-01-11,Saine,C,Stage 1,0,0.0174,0.4858,627538.71,5301.68,6301.03,6239.32,0.0,0,,0,,Normal,Classification automatique,VAL-011,2026-09-11 14:53:27.208359,2026-12-10 14:53:27.208359
CLS-000445,CRD-000445,CLI-001618,2025-03-01,Saine,C,Stage 2,40,0.1255,0.3662,64054.69,2943.5,3013.83,2882.24,0.0,0,,0,,Retard de paiement,Classification automatique,VAL-019,2026-09-11 14:53:27.210366,2026-12-10 14:53:27.210366
CLS-000446,CRD-000446,CLI-001655,2025-03-27,Saine,B,Stage 1,0,0.0097,0.5214,304471.4,1546.92,1673.76,1606.82,0.0,0,,0,,Normal,Classification automatique,VAL-004,2026-09-11 14:53:27.214360,2026-12-10 14:53:27.214360
